"題號","官方答案","題目核心觀念","正確原因分析"
"1","A","生成式 AI 的生成本質","生成式 AI 的核心特徵是能基於訓練數據學習分佈，進而創造出全新的、過去不存在的文字、影像或程式碼等內容。"
"2","C","LLM 幻覺（Hallucination）成因","幻覺主要源於模型僅基於機率預測下一個 Token，當缺乏足夠的事實依據或遇到知識盲區時，便會生成看似合理但實際上錯誤的資訊。"
"3","B","提示工程（Prompt Engineering）","在不調整模型權限與內部參數的前提下，純粹透過優化輸入文字的結構、角色設定與範例來引導 AI 輸出正確結果的技術。"
"4","A","零樣本提示（Zero-Shot）適用度","零樣本提示不提供任何範例，最適合用於模型在預訓練階段已具備高度通用常識、且任務邏輯極其簡單直觀的文字分類情境。"
"5","D","思維鏈（CoT）的核心機制","CoT 透過引導模型在輸出最終答案前，先寫出中間的「逐步推理步驟」，能顯著提升模型在數學、邏輯與複雜規劃任務上的準確度。"
"6","B","RAG 的主要解決痛點","檢索增強生成（RAG）能即時從外部資料庫撈取最新、私有的文件給模型參考，是解決模型時效性過期與缺乏企業私有知識的最佳架構。"
"7","C","向量資料庫（Vector Database）","向量資料庫專門用來儲存與高效檢索高維度的向量嵌入（Embeddings），是實現 RAG 語義搜尋與相似度比對的核心基礎建設。"
"8","C","微調（Fine-Tuning）的適用情境","當需要改變模型的說話風格、語氣、特定領域的專有名詞語境，或需要讓模型深度內化特定的專業知識行為時，最適合採用微調。"
"9","D","微調與 RAG 的技術互補","RAG 擅長動態提供最新且需追溯來源的事實資料；微調則擅長優化模型對特定任務的執行格式與風格定型，兩者應相輔相成。"
"10","A","溫度參數（Temperature）控制","溫度參數控制輸出的隨機性。調高溫度會使 Token 選擇更多元、具創造力；調低溫度（趨近於 0）則會使輸出極度穩定、確定且重複。"
"11","C","Top-P (Nucleus Sampling) 採樣","Top-P 透過設定累積機率門檻來篩選 Token 候選池，調低該值會過濾掉低機率詞彙，使文本生成結果更加聚焦且不易偏離主題。"
"12","B","系統提示詞 (System Prompt) 角色","System Prompt 具有最高權限的框架約束力，專門用來全局定義 AI 的角色身份、核心行為準則以及必須絕對遵守的安全邊界。"
"13","D","軟體開發生命週期 (SDLC) 整合","在需求評估與架構設計階段，應同步將生成式 AI 的模型限制（如 Token 上限、幻覺率、隱私法規）納入考量，避免後期重構成本過高。"
"14","B","模型參數量與硬體資源評估","模型的參數規模（如 7B, 70B）直接決定了推理解析所需的顯示記憶體（VRAM）容量，是評估地端硬體採購成本的最核心指標。"
"15","A","文字嵌入 (Text Embeddings) 的本質","Embedding 技術將非結構化的文字片段轉換為固定長度的實數向量，其核心目的在於捕捉字裡行間的語義關聯性，以利進行相似度計算。"
"16","C","混合檢索 (Hybrid Search) 架構","結合 BM25（關鍵字精確匹配）與 Vector Search（語義模糊理解）的優勢，能兼顧特定產品型號的精準查詢與用戶意圖的泛化理解。"
"17","D","資料 chunking（文本切片）策略","切片大小（Chunk Size）與重疊度（Overlap）會直接影響檢索品質，過大會引入雜訊，過小則會遺失前後文脈絡（Context loss）。"
"18","B","檢索評估指標 (MRR / Hit Rate)","Hit Rate（命中率）評估前 N 個結果中是否包含正確答案，MRR 則考量正確答案的排序名次，兩者是微調檢索階段品質的關鍵指標。"
"19","A","長上下文 (Long Context) 效能衰退","儘管模型宣稱支援百萬 Token 上限，但在實務中，重要關鍵資訊若落在上下文的中間區段，模型容易產生忽視現象（Lost in the Middle）。"
"20","C","知識蒸餾 (Knowledge Distillation)","透過大模型（Teacher）引導小模型（Student）的訓練方式，使小模型在大幅降低參數量與硬體需求的同時，仍能保留大部分的推理能力。"
"21","A","多模態（Multimodality）模型","多模態模型的核心特徵在於能同時接收、理解並交叉處理多種不同類型（如文字、圖片、聲音）的輸入訊號，而非僅限於單一文本。"
"22","B","負責任的 AI（Responsible AI）安全過濾","在客服系統上線前，必須在模型輸入與輸出端配置內容安全過濾機制，即時攔截並阻斷涉及暴力、仇恨、歧視等違反倫理的有害言論。"
"23","D","資料偏誤（Data Bias）對模型的影響","模型若大量使用單一文化或具備強烈偏見的歷史數據進行訓練，將導致其生成的決策回覆產生嚴重的偏頗，損害多元族群的公平性權益。"
"24","C","開源與閉源模型的架構選型","閉源 API（如 OpenAI）具備即開即用、免維護硬體的優勢；而開源模型（如 Llama）則能讓企業完全掌控模型權重，具備極高的地端客製化私密性。"
"25","A","模型量化（Quantization）技術","量化技術將模型權重的浮點數精度（如 FP16 降至 INT8），能大幅減少模型佔用的記憶體空間並加速推理，但會伴隨些微的精準度損失。"
"26","C","人類回饋強化學習（RLHF）","RLHF 技術透過收集人類評分員對模型多個回覆的偏好排序，建構獎勵模型來引導 LLM，使其輸出更符合人類的價值觀、安全規範與表達習慣。"
"27","B","生成式 AI 的著作權與智財權爭議","由於生成式 AI 的訓練資料通常包含大量網路公開或受版權保護的作品，其生成的內容可能存在潛在的侵權風險，是企業合規評估的核心焦點。"
"28","D","對抗性攻擊（Adversarial Attacks）防禦","攻擊者藉由在正常提示詞中植入特定設計的干擾字串或跳脫代碼，試圖誘使模型突破安全限制（Jailbreak），系統必須具備對抗性輸入防禦能力。"
"29","A","冷啟動（Cold Start）在 AI 專案的挑戰","在缺乏歷史對話或使用者標註數據的初期階段，AI 專案容易面臨難以進行精準微調或個人化推薦的困境，通常需先依賴高質量的合成資料或基於規則的框架。"
"30","C","少樣本（Few-Shot）範例選擇策略","Few-Shot 提示詞中提供的範例，其排列順序、多樣性與標籤分佈的均衡度，都會顯著影響模型的最終推理傾向，應避免提供過度單一傾斜的範例。"
"31","B","LoRA (Low-Rank Adaptation) 微調","LoRA 透過凍結大模型原本的權重，僅在旁邊額外訓練低秩分解矩陣，能以極低的運算成本與記憶體消耗完成模型的高效微調。"
"32","D","AI 應用的監控指標 (Observability)","除了系統層面的延遲外，生成式 AI 系統必須特別監控「Token 消耗速率、幻覺率、用戶負面反饋率」等與模型輸出品質高度相關的指標。"
"33","C","RAG 與微調 (Fine-Tuning) 的成本權衡","微調模型需要投入高昂的 GPU 算力進行重新訓練，且每次資料更新都要重複此流程；相較之下，RAG 調整外部知識庫的日常維護成本明顯較低。"
"34","A","少樣本提示 (Few-Shot) 的標籤污染","在 Few-Shot 提示中，如果故意將範例的答案標籤給予錯誤的標記，語言模型往往仍能捕捉任務的格式結構，但最終生成的正確率會明顯下降。"
"35","B","代理人工作流 (Agentic Workflow) 的迭代","與單次、直線式的提示詞輸入相比，Agentic Workflow 的核心在於允許模型透過「自我反思、多輪規劃與執行工具」的循環，來逐步優化產出品質。"
"36","C","工具調用 (Tool Calling) 的容錯設計","當 AI Agent 呼叫外部 API 回傳 500 錯誤時，優秀的系統設計應將此「錯誤訊息」原封不動當作上下文餵回給模型，讓模型具備自我修正或改用其他辦法的能力。"
"37","A","文字生成影像的 Prompt 權重設計","在主流的影像生成模型（如 Stable Diffusion）中，提示詞文字的先後順序與括號（如 (masterpiece:1.2)）能調整特定特徵的權重影響力。"
"38","D","企業導入 LLM 的資料去識別化","為符合個資法，將生產環境的資料餵給公有雲大模型前，必須透過遮罩（Masking）或置換技術，將姓名、身份證號等敏感個資進行去識別化處理。"
"39","B","基準測試 (Benchmark) 的資料污染問題","如果測試集（Benchmark）的題目不小心被包含在模型的預訓練語料庫中，模型只要靠記憶就能拿高分，這會導致評測結果無法反映真正的泛化推理能力。"
