"題號","官方答案","題目核心觀念","正確原因分析"
"1","A","輿情分析與隱私保護","選舉輿情分析旨在了解選民對政策的總體傾向，採用情感分析結合關鍵詞提取能精確掌握立場與高頻議題，且完全不涉及特定個人的身分特徵或隱私識別。"
"2","D","非監督式異常偵測的局限","非監督式學習（Unsupervised Learning）在缺乏標註資料的情境下，僅能依特徵分布找出偏離常態的潛在離群值，但在沒有標籤對照下，無法『準確判斷』該筆異常屬於哪種特定類別。"
"3","A","電路板焊接缺陷與視覺技術","自動判斷電路板焊接瑕疵、處理產品外觀影像，主要依賴電腦視覺、異常偵測與診斷性分析。而自然語言處理（NLP）專門用於文字或語音的語意解析，與此影像應用完全無關。"
"4","B","毫秒級交易決策的 AI 能力","金融交易系統在毫秒級時間內掃描跨市場價差、分析即時報價並自動執行指令，最核心依賴的 AI 能力是快速分析龐大數據並在極短時間內識別機會，以驅動自動化決策。"
"5","C","基本法精神與補助資格審核","依據《人工智慧基本法》精神，當補助審核系統出現不同族群核准率顯著差異（潛在偏誤）時，最適當且優先的作法是進行偏誤影響評估，並建立可解釋性與申訴機制以保障民眾權益。"
"6","C","數發部生成式 AI 評測項目","我國數位發展部 AI 產品與系統評測中心對生成式 AI 的安全評測項目，核心包含資安（Secure）、公平性（Fair）、可靠性（Reliability）與當責性，而『效率性』並不屬於該中心的安全性評測範疇。"
"7","A","模型訓練階段的資料清洗","在模型訓練階段，要降低 AI 產出有害或偏頗內容的根本防禦措施，是確保訓練資料來源多元、分佈均衡，並在餵給模型前經過嚴格的內容清洗與偏見過濾。"
"8","A","核保輔助系統必要揭露義務","依據金融機構 AI 作業規範，系統與消費者互動前必須揭露適用對象、用途範圍、自動化判定性質及人工申訴管道。但涉及商業機密與資安的模型架構與完整訓練資料，並非必要揭露事項。"
"9","D","AI 倫理五大核心原則對應","①醫師無法理解判斷依據對應『透明性』原則；②特定族裔誤診率偏高對應『公平性』原則；③病患個資未經告知納入再訓練則直接違反了『隱私性』原則。"
"10","A","高頻感測數據的大數據特質","空氣品質監測系統需要整合全市 5 萬個感測器、每秒產生大量記錄，並持續高速接收多元動態資料，這在經典大數據特性（5V）中，最主要對應的是 Volume（資料量大）與 Velocity（生成速度快）。"
